,Name,Time,Num_Reviews,Title,Content,Rating
0,Nicole kittlety,2019-12-06,1,They have so many bullying support…,"They have so many bullying support groups, uk endometriosis support & awareness group being the worst. They’re very self pitying women who any different view isn’t allowed. They go on how they’re in agony & should they call 911, no because when I’m in agony I can’t get up know about tell everyone on fb. Stupid pictures of them in there underwear or just before they go to surgery, obviously not getting enough attention. Avoid this group like the plague, they’re everything I hate about women who fake a bit to get attention. Most of them probably haven’t got the disease.",1
1,B.J.,2019-12-05,15,is there one that is less than one…,"is there one that is less than one star, facebook is dreck squared. got a notice today that there was suspicious activity and not certain how that would happen since I use facebook just to vent TO ME. I don't have it open to anyone even though they keep sending me friend request. now I have to wait to see if I can cont with this insipid drivel that is making Zuckerberg or what ever his name is a multi billionaire. why don't we all just leave and then see what kind of cleanup is needed on this ridiculous site",1
2,Macbear,2019-12-05,47,Pressure,"Having had to deal with clients who have had bad experiences using Facebook I have no wish to sign up. Almost every website and business I use seems to prefer access through Facebook. Given questionable security, ethics and misuse the answer is negative.",1
3,Damo,2019-12-05,3,Keeping our business running and for…,Keeping our business running and for that we are greatful.  Thank you fb,5
4,raja SAQIB,2019-12-04,2,Facebook is against Islam and Muslims,Facebook is against Islam and Muslims Anything you post about Islam and Muslims they keep blocking your accounts or threats to block or restrict account for days and weeks and months And they talk about community standards Their community is only non Muslims Most Jewish and Hindus They love Facebook is full of media posts against Islam and Muslims and they will never remove it even my I complained and they said it’s not against their communityAny thing against Islam and Muslims it’s okay to post But anything you post about Islam ☪️ which shows positive Image it’s against their commutes standards There are millions of fake accounts now running on Facebook because if Facebook crap and rubbish policy What you think by blocking and removing accounts you can stop 🛑 Muslims and Islam ??? No never And you are losers and will lose,1
5,Osman Sarwar,2019-12-04,4,Facebook Ads DO NOT USE I tried this…,Facebook Ads DO NOT USE I tried this for my business page using the mobile app kept freezing  but after instead of paying £5 got charged for multiple ads for £30 complained to face book 2 weeks ago still no reply and don't think I'll get one spoke to a friend who had same problem!,1
6,Upset Consumer,2019-12-03,3,I have no friends so I see no use for…,"I have no friends so I see no use for it in that aspect to post silly memes and relationship statuses like others. I do have a few business pages and been posting for months and have not gotten one single page like on any of them. I am non-profit and can't afford to pay for fans nor do I want to beg for them either... but this is just pathetic. If you must pay or beg for reach I give up!Their ad platform looks very suspicious. They tell you the estimated number of people who will like your page if you spend X amount of money per day. Such guarantee cannot be made unless they are using bots or fake accounts to pad page likes. Like I said, not one page like in months of posting... but if I pay X amount of cash I will suddenly get them? What a scam.",1
7,Manos G,2019-12-03,2,been using their ads system,"been using their ads system, and the results are mixed, im not sure that all the clicks are humans",3
8,John Zawadzki,2019-12-03,1,Facebook Security Needs To Be Better,"My son and i both run a computer repair business and because of one of our clients being unhappy with the job he's been arresting my son over facebook, we have a screen shot of the client telling my son over facebook that he will be reporting my son on facebook and hopes that the servers gets taken down. Since then my son got one email from facebook about being reported and was limited to posting. The client ended up at this point blocking my son after few days my son got another email from facebook about being reported again this is twice. Now when he tried to log into facebook it will ask for his mobile number. When he enters it into the box and click on send, he will get the code when he enters the code into the box and click on next, a message will show up ""Your going to fast"". The next day after 24 hours he tried again this time i told him to enter my phone number so i got the code and he entered it into the box and again got the same message ""Your going to fast"". Myself and another family member posted on the facebook community page asking for help rather then helping both our post gets deleted, so my family member tried again and now her account is limited on post. So if the facebook community is the only way to get help and you can't because facebook is deleting your post or even limiting your posting what do you do now. When we search the facebook community page there are people commenting telling users to call this number for facebook support but those are all scammers, a seen a lot of these comments on the page for years and never got deleted but when a user ask for help the post gets deleted makes no scene to me. I run a business and if it was anything like facebook i would be losing clients each day. They do need a better system and facebook workers who is in front of the pc reading each report users make on facebook they don't seem to be reading it right as my son is the one who got reported and kicked off yet that client still on facebook and we got lots of screen shots of threats this client has made to my son. Not right at all",1
9,K B,2019-12-02,7,Idea of facebook is great but they…,"Idea of facebook is great but they become company that will do whatever they wish to do. There is no way to contact them, their boots are far away fro perfect. Plus who gave them the power to censor???There is number reports that fb censor conservative news.",2
10,Viktor Cin,2019-12-02,2,Facebook tries ruins all social media sites,"Facebook tries to control every social meadia website by buying them out and completly distroyimg the sites with adds and garbage. Mark should be embarassed by what his company has turned into. You should fire some of your incompetent staff, they are totaly distroying the quality of your social media sites that you buy. At least makr the ads real and from real companies. I don't normally do commentary but lately this stuff made me angry.",1
11,Rita Book,2019-12-02,1,a giant tech company that bought out…,a giant tech company that bought out MySpace because it taught Americans how to code web pages and Obama paid them to db down the masses that now floods it's users news feeds with ads from unscrupulous scammers looking to separate them from their hard earned money they also demand you answer questions and try to make you work for free like a slave while answering tech questions and software app development is a six figure jobs they partner with google and Microsoft to further Chinese spying and communism in general basically an arm of the Democratic party their spy and secret police etc that monitors us all on every device without permission or compensation.,1
12,Raj,2019-12-02,6,Never use business facebook ads.,"Never use business facebook ads.Its a complete rip off.Even tho the account were closed they continue to charge the account 1000s of pounds after, to resolve this issue facebook have no support call centres or email service without having an account.So if you delete your account and then have an issue, you cannot contact then which ever way you try!",1
13,Logs Khan,2019-12-02,1,i'm happy using facebook thanks :),"I disapprove of Facebook, so I won’t use it.  Of course this means I also won’t use any app that requires me to visit Facebook to to use it.You’re cheating yourself if FB is the only access you give people. I am only one of a huge number of people who are waking up to what is happening.",5
14,incurableromanticist,2019-12-02,7,Don’t limit your fans,"I am too old for this social mass manipulation. After many many years my friends make me to open Facebook account, so we can get in touch easier, as they say. I honestly put in only my personal data and my account was immediately blocked and then disabled. No e-mail, no explanation, no help, no communication. Arrogant, rude, insulting. What is value of this kind of service? ... ?",1
15,Paul Pobis,2019-11-30,1,"I am tired of Facebook, not even started.","If I could I would have given ZERO…If I could I would have given ZERO STARS. Facebook collects your data, spy on you and has not ethics.Myself, having never being part of any social media, I curse the day my sister opened an account for me in FB - which took me 5 years to start using it.  It might as well be called Bolshevik Book, Communist Book. There is no free speech there. You get banned for the most banal memes and words. There is also shadow ban of postings and links. Facebook  bans anyone or anything that is not of the opinion and Marxist ideology of Facebook aka George Soros, globalists, ie, Commies/Rothschild crowd owners of the world disguised as benefactors of humanity. FAcebook treats people like a school child. FAcebook is an echo chamber of mental and emotional weaklings and baby boomers. I will rejoice the day Facebook   goes the same way as My Space or others(so I am told My SPace and others collapsed) . It is already going that way and it is awfully quiet there or maybe they are banning everyone and everything prior to elections in UK, USA etc. Thankfully alternatives, which do not apply censorship ,are coming along such as VK (best one in my view), GAB, MeWe Minds.com etc  etc. May the Gods speed Facebook fall.",1
16,Nethaj Nelvoy,2019-11-29,1,Good performance pickup and delivery,Verry bad policiesAnd term's and conditionsI can't login to my account,5
17,Renata,2019-11-27,12,If I could I would have given ZERO…,none,1
18,Sameer patel,2019-11-27,1,Verry bad policies,none,1
0,Shane,2019-11-26,8,Supporting fraudulent advertisements,"A fraudulent advertisement popped up on my feed. I reported this to facebook, but apparently fraud doesn't go against their community standards",1
0,Christopher C,2019-11-26,4,Facebook fails to take responsibility…,"Facebook fails to take responsibility and adopt best practices for the way that it handles data, and access to services.Its authentication method for third party sites is frustrating. It lacks the necessary controls to reset passwords over simply locking out the user.Its business review platform is one of the most impractical and irresponsible means of validating the legitimacy of a business and its client feedback. Other companies are simply doing it better. Better Business Bureaus are being revived because they have a hands-on process to validate business profiles AND become involved with customer reviews.Facebook is only in the business for the ad dollars and is failing its community of users.On the advertising front their ""account managers"" leave questions unanswered and fail to follow-up on questions asked in regularly scheduled calls. Their meeting invites lead to broken calendars, making it impossible to schedule time with ad specialists.Always expect that someone will come along and do it better.",1
1,Peter Werner,2019-11-23,13,"Facebook just collects data, then suspends accounts to collect more data","Facebook just collects data, then suspends accounts to collect more data.1. Created Facebook account => asked for name, email address...2. gone through the endless list of settings3. Facebook asks for a phone number, including verification! No need for a phone number to perform their services. Just for the fun of it.4. created a fan page5. gone through the endless list of settings6. added profile images for both7. next day added banner to fan page and more settings8. started creating an ad9. again going through an endless list of settings...After two days of work, in the middle of the process of going through the ad settings... suddenly I get kicked out and have to login again.Already in a ""good"" mood for having to start over... logging in again... now Facebook asks for a photo. And it has to be a real, valid, and good quality photo.Why? To validate, if you are a real and the right user. Question: how does Facebook know? What do they compare with? Where do they get the right to ask a personal and private document from you?Did I mention, this is an account for an author... read pseudonym!So, I send the same image that I have used for both, the account and the fan page as profile image.3 days no reply. Well, meanwhile the a promotion is running and I can't promote it on Facebook. Why? Because my account is still suspended. The work isn't done. Instead I had 2 days of work for NOTHING! 2 days precious life time wasted for NOTHING!So, by coincidence I find a page about what you can do, when your account got suspended. Guess what! You can't contact support, but you actually need to send a valid ID now, in case your account has been suspended wrongfully. Btw, WHY was my account suspended? For creating an ad?Next to that:*) all websites need to have a valid imprint => Facebook doesn't*) all websites need at least 2 valid contact options (no form!) in the imprint => Facebook doesn't*) all service providers need to offer a free option to contact them about product/service problems to help solve the problem => not FacebookSmall businesses would pay up to 20 million bucks in fines for the violations. Not Facebook. They just do what they want.You should be ashamed of yourself! This is absolutely ridiculous.And the best thing: Facebook is damaging not only mine, but also their own business for the missed ads that I can't run!Facebook just ILLEGALLY COLLECTS DATA OF THEIR USERS FOR MISUSE AND ADVERTISING!",1
2,Allan,2019-11-23,2,Short changed by argos.,"IN my review I am quoting 'Trustpilot'. My son who is disabled & wanted to buy a new camera, we went to new Argos store in Sainsburys supermarket in Silksworth Lane in Sunderland as we ordered the camera & went to collect it but before we did we asked if they could open it before we paid for it to make sure my son could hold it without any problem, everything was ok so I gave the lady £360 as it was for a camera package which included a card to put in the camera, total price was £353-98p & she was answering our questions & showing him how it worked she gave me the receipt which which showed the price & amount of change to receive back but through everything that was going on we forgot about the change till we got home & my son asked where was his change & that's when we realised we hadn't received it so we went back to Argos & they said we would have to go back the next day when the till gets checked on going back they said that the till was over £8 meaning they would have been around £15 short in there till which is there fault which left us out of pocket by £6-02p. Don't know how to copy the receipt to send to you not clever enough.",1
3,Rick Fulton,2019-11-21,3,Is Facebook worth it?,"Facebook has been the best social network for so many years until it's security system flopped. I appreciate how they try to protect accounts from scams and trolls, but it got to the point where they started blocking real accounts and there is NO way of getting those accounts back. My father has used his account for about 8 years, until his account was completely blocked. He was told to wait for a verification mail which was supposed to help him unblock his account, but never came. However, contacting support is impossible nowadays, they put you on hold and never reach out. It's a shame it has come to this.",1
4,Relaxation Paradise,2019-11-21,18,No longer good. They censor now. Control.,1 stars for censoring and playing GOD on every one.They censor my profile page.No reason.Comment hidden. No reason.,1
5,Rifad Khan,2019-11-20,1,Facebook is the Best social networking…,"Facebook is the Best social networking site. Presently it is just not only a social networking site but also nowadays people are getting instant help by using its live option and other functional tools, notifying the local government to solve the social problems.",5
6,MD. TAREK UZZAMAN,2019-11-19,2,Great social network,Great social network. I can not live without fb a day.,5
7,Jose,2019-11-19,1,THEY ARE THIEFS AND CROOKS,THEY ARE THIEFS AND CROOKS. A CRIMINAL FRAUDELEUS COMPANY!! i had a business page and put money on the account to do some ads. For no reason at all they closed the account but did not return the money!! And you cant call them email them. THE WORST COMPANY ON THE PLANET.,1
8,John Russell,2019-11-17,3,Facebook are control freaks,"Facebook are control freaks. I travel multiple places and when I log in they lock my account. Trying to get back in, is near impossible. Friends cant follow the recovery process, I dont have friends contact details, I dont communicate with the friends they have identified. Facebook are very irresponsible. I compare them with the gestapo.",1
9,Gerald Terblanche,2019-11-16,1,Shocking - they just don’t care,"Shocking - my account gets suspended and no reason, no response to queries - I certainly cannot wait for another platform to evolve and compete with this organisation. They think they are a law unto themselves",1
10,Caitlin Maughan,2019-11-14,1,Okay i have to say this its a really…,Okay i have to say this its a really good app i love facebook but u should update the privacy status please like u shouldent be able to watch people livelys from the whole facebook like it should be how it is on instagram when u have to click on there story to watch there livelys it shouldent be all ovee facebook and then storys nobody look at my storys anymore cuz they can see them anyways would u be able to not be able to see storys untill u actualy click on them please change this,2
11,Wajid Hussain,2019-11-14,1,Facebook disabled my account and they…,Facebook disabled my account and they never told any reason I personally think since I started share  pages kashmir about they suffering from indian army I personally think after that they disabled my account. But they never say any thing without reason they closed my account and I can not contact with Facebook completly discasting service.,1
12,Tasha Sills - Hensley,2019-11-14,1,I have been trying to get in contact…,I have been trying to get in contact with facebook customer service or at the very least get a response to one of my several emails so i can reset my password and get into my facebook account. Ive reached out for weeks for help because there main sources will not work and i still have gotten no answer pr responses or text codes or help. Im extremely disappointed by this and sad that all my kids pics are on my page and my daughter that passed aways photos are on there and yet i cant get a facebook employee to answer an email or send a text code tp reset my password to my phone. Im about to snap. Im angry at this point and highly disappointed.the responses i do get to mu email are for my daughters account which i have specifically stated i need my account gave my name my number my email and yet nothing .....,1
13,Qabeel Ram Suri,2019-11-14,15,horrible platform for people of all ages,"I don’t usually do this but it’s got to a point now, where it’s ridiculous. Whenever I report something on Facebook, that’s inappropriate or offensive, Facebook disregards it. I wouldn’t mind if it was once or twice but it’s every time! it seems like Facebook doesn’t care about my opinion or anyone else’s. when will they start listening and start doing something about this?",1
14,Brandon Wilson,2019-11-13,1,I don’t usually do this but it’s got to…,Its been almost two years i have stopped logging in because i think it is a mess of fake world now,1
15,Adeel,2019-11-13,4,Its been almost two years i have…,Fantastic addition for any business to promote their website and would not be complete without a Facebook page *****,2
16,Paul G,2019-11-13,5,Fantastic addition for any business to…,Facebook is awesome o get to connect with people and family,3
17,Abigail Gray,2019-11-12,1,Facebook is awesome o get to connect…,"Horrible performance and hangs if having it open more than 20 min, spams ads in your face every second post, and if you put your phone number in it, there's a chance that can leak out as they store that poop (cant say it properly on this christian site) in plain text for any hacker to access.",5
18,Silithas,2019-11-12,5,Horrible performance and security is a joke.,none,1
0,Ayla muniz,2019-11-12,4,Facebook WAS  a good site before but…,Facebook WAS  a good site before but now ... they just blok whit out a reason,1
0,Crystal Ball,2019-11-11,10,I created two Facebook accounts using…,"I created two Facebook accounts using one as a backup in case anything happened to the other. I never posted anything anaproopriate, no f or c words etc., no 'adult contents' & for four weeks I tried logging in only to find I've been blocked on one & disabled on the other but they've had no genuine reason to do it. Contacting them  is a waste of time as I just keep getting the automated answers. Sorry, Facebook but I've gone elsewhere now!",1
1,Maria Melo,2019-11-10,1,Good website,Nice site，good job,4
2,Winni,2019-11-09,1,Nice site,Facebook is a good website are friends and family and  me,3
3,Laura Thompson,2019-11-09,2,Facebook is a good website her friends…,Its 100% true facebook connected the world together,5
4,Muhamamd Umer Farooq (Malik),2019-11-09,4,Best social media,Honestly to start with Facebook was a great platform for people to connect with each other and share . But now I truly don’t believe Facebook is good for socialising atall ! The only thing Facebook is good for is business and that’s it . Such a shame really . All comes down to money once again ! Nothing will ever change I gues . But thank you for the business tho Facebook that’s the only reason I’ve given you two stars and not 1 . Best of luck,5
5,Harley gilding ,2019-11-07,9,Honestly to start with Facebook was a…,No help from Facebook if something goes wrongOvernight 23/24 of October - during my vacation with no PC my facebook profile was attached. Price was 87 Euros from Facebook Ireland.,2
6,Henning Rasmussen,2019-11-07,1,No help from Facebook if something goes…,This company sells your data. Delete your facebook profile to protect your privacy!!!!!!!! Mark Zuckerberg has shown his true colors many times yet people still use facebook everyday.,1
7,Valentin Dias Neto,2019-11-07,9,This company sells your data,Facebook sells your data. if you want to stay safe and not become a product — delete your account.,1
8,Oliver Rose,2019-11-07,9,Facebook sells your data,"Facebook is no longer a safe platform for privacy!  After finding out all of the ways that Facebook intrudes in our privacy, I am weening my way off of the website!  I recently read that they even scans all of your messages.  Also they want face recognition and want to scan our faces.  It gets even deeper than that!  They want to scan our brains for mind reading!?!?! Yikes!!!  So now I make sure that I keep my lenses on my computer and phone covered when I am on there (& the internet).  I am proud to say that over the past 2 weeks I have only logged on there ONLY once.  I am moving towards ZERO loggons to facebook.  I want nothing to do with that website!",1
9,Gosh T,2019-11-07,1,Facebook is no longer a safe platform…,"Deleted my facebook account to protect my privacy. The website is a pure scam that places you as a product for their benefit. Delete your profile now, before its too late.",1
10,Enrique Lira,2019-11-07,6,Deleted my facebook account to protect…,I go to make a status update and suddenly I'm post blocked for no reason! I have never posted anything offensive! I am outraged. I swear I'm gonna end up leaving this site for good if they don't fix their algorithms. Edit: I have had friends whos accounts have been disabled for no reason!! I have tried to make a new one myself and it immediately gets disabled.  THIS IS INSANE! THIS IS BS! FB does not care about its users and will delete and block you over small things that dont even go against their community standards. I suggest we all abandon this s*** show of a social media and flock somewhere else where you wont get banned for no reason.,1
11,Batty Kitten,2019-11-07,1,I go to make a status update and…,"A perfect platform for meeting friends old or new, seeing how much of a barstud /Angel Mary's husband is depending on what time of day it is and how many wines she has consumed.See every minute detail of Mary's day as she inanly checks into every place she visits with attached photos of how great/crap her life is.Feel sympathy at her hospital photos she posts from everything from a blood test to a freaking smear, including clicking the feeling today button.Watch in trepidation as Mary tells all about her children being complete a holes to the best thing that ever happened to her,,,,See her share from Peterborough a photo of a grizzled boxer dog that has been missing for 6 months and whose family are desperate for his safe return to Ohio!!!!Get 1265 game requests from her in your inbox making your phone ping like a heart monitor on a nymphomaniac.Get depressed when you see Mary unfriend you for asking if it was wise her live streaming her child's tantrum to show the world how great a mother she is having to deal with a child with behavioural challenges, as now you don't have the perverse joy at laughing at her continued posts about her shitey little mundane life, Then gasp at being sent fully explicit porn pictures and videos from Mr Fake Account From I'm,really a hackerton.Wince at videos of cartel tortures and beheadings then sit in FB jail for 3 friggin months because you posted a picture of a mans nipple.Join now and kiss your life goodbye,Ps send me poker chips",1
12,Cornish Breeze,2019-11-06,3,A perfect platform for meeting friends…,"Before I could finish signing up, my account was suspended for violating some rule or another of Facebook's. I had not even completed my profile. I can only assume I was immediately hacked and compromised. Are you freaking kidding me? Messages to Facebook to find out what happened have gone unanswered. I've decided that this is fine with me.",3
13,Brad Parker,2019-11-06,1,Before I could finish signing up,"I wish we could review this with an awful rating.My account seemed to have been hacked as I was sleeping, I wake up to 3 emails from Facebook saying that my password has been requested a reset. However I did not request a reset as I was sleeping. I wake up to find my account has been fully compromised and has been Permanently Disabled for going against Facebook's T&C's that I personally did not break, the individual who broke into my account must have posted explicit content.I have messaged Facebook about this and the only response I have received is ""Account has been Permanently Disabled""The security efforts and their support in keeping their accounts secure are more than awful, they have literally been failed.",1
14,Luke Leech,2019-11-06,2,"Hacked, Deactivated and Unable to do anything",Manipulates the public and endorses the reelection of fascists like Trump and anti Vaxxers,1
15,f,2019-11-04,1,Manipulates the public and endorses the…,"Can't even access my own Facebook, been trying to contact Facebook in many ways and submit to prove its me but nothing. Given up really, just find it soo annoying that there's no way to get back on it.",1
16,Rhys Brown,2019-11-04,1,Can't even access my own Facebook,I recently had custom blinds created and installed by Bluechip Shutters & Blinds. I was very satisfied with the finished product and the professionalism of the company.   I was offered a large selection of samples to choose from and the installers did an outstanding job.  My media room now has the look I hoped to achieve by this window treatment.,1
17,Lois Agliata,2019-11-04,1,A Very Satisfied Customer,"Discriminating the luxembourgish languageFacebook and Instagram is turning out to be useless for my startup promoting clothes in Luxembourgish language. Both shops refuse part  or all of my products thinking that they are offensive while in fact they are not.We have a verb called ""a-s-s"" for instance which means ""is"", but they interpret it as ""B-U-T-T"". While I understand that AI can never be perfect at filtering out the content, I do not understand that they have a pretty much non existent customer service.I cannot use my Instagram account to send people to my shop now which makes my page almost useless. That's why I turned it back to personal account and will stay away from their advertising in general. For businesses operating with the luxembourgish language: ""Don't WASTE your time"". They probably couldn't care less about you.",5
18,Emmanuel Simon,2019-11-04,3,Discriminating the luxembourgish…,none,1
0,Jay,2019-11-04,1,Disgusting racists,"Disgusting racists, if your a muslim you will see thousands of posts daily about the oppression of muslims and scum calling us all sorts of bad things. When you report them nothing happens but when you call someone a zionist as mark zuckerberg is himself youll be banned from fb for a week. Ahahahah corruption at its finest the truth hurts them.",1
0,M.,2019-11-04,49,Too many ads,Too many ads - no paid upgrade to remove ads either.Sending a lot of spammy emails too.,2
1,Laei iii,2019-11-03,1,Keep block my account,Keep block my account ! Ever use it again,1
2,Piotr Nowak,2019-11-02,5,I use it to contact with friends!,"Fully evil. try leaving their service and you'll see how truly evil they are, by presenting you with a show real of ""moments"" and bringing up photos of your friends and saying ""Sheila will miss you"" ... ""Look at all the times Sheila and you were together in these photos"" ... 'You . will lose all of your friends and die alone without facebook' it's true colours are beginning to come to the surface. My advice is leave the service... your life and relationships with others will improve dramatically without it.",5
3,Steve,2019-11-02,55,Fully evil,"I recently deleted my account because I had no way of preventing people from seeing what I posted in groups without doing so unless I went back to every single thing I posted and deleted them 1 by 1.  I figured after I deleted my account I could just make a new one and start fresh.  WRONG.  I can't create an account without verifying my phone number (even though I gave my email address, not my phone number) but I'm sick of garbage phone calls constantly so I'm not willing to give it out.  So guess what?  I'm done with facebook.  gg go feck yourselves.",1
4,Anna Wendland,2019-11-01,1,I recently deleted my account because I…,"Facebook is EVIL !!! run by psychopaths!They not only never protect their users against harassment, defamation and denigration, even after reporting claiming ""it doesn't violate their community policy"" even though it's blatant harassment, but Facebook even takes part in the harassment by siding with the agressors and those that harass, sending warnings to the victims defending themselves verbally, trying to defend their integrity and dignity! And facebook sends warnings to the victims! Facebook takes part in the harassment and abuse by PREVENTING the victims and NOT ALLOWING TO SUBMIT REPORTS with some fake BOGUS ERRORS to ""try later"" and after a while denying that all-together claiming you tried to submit too many times!!!! But they never allowed you to even submit a report in the first place!FACEBOOK IS EVIL AND RUN BY PSYCHOPATHS!",1
5,Cristian,2019-11-01,4,FACEBOOK IS EVIL AND RUN BY PSYCHOPATHS!,"Corrupt and not regulated.  Incredibly addictive - wastes people’s time and exposes them to multiple ads to control their minds. It’s basically a human farm, they are farming us. Facebook makes billions from advertisement, which can be inoffensive - like a t-shirt or  dangerous like spreading an aggressive moment towards minorities. A danger to society. Be intelligent, quit Facebook!",1
6,Blond Salad,2019-11-01,6,Corrupt and not regulated,"i had opened an account for my company everything was good for 2 days after which suddenly facebook asked me for a verification which i had send, and they blocked my account stating i cannot use until it is verified.No problem with the account i have not even done anything wrong still they just blocked the account, may be because i got 300 friend request in 2 days.",1
7,Zameer Saibole,2019-11-01,1,worst service now adays and says due to protection,awful when you need an issue fixed and full of fake clothing and the sellers are simply allowed to get away with it - it seems dependent on where you are based as torquay has loads of fake nike trainers and Exeter and Plymouth have fake clothing also - they also strangle your posts unless you pay to boost them - 5000 friends and only about 100 ever see when I post something - no good for marketing at all when you run businesses online and it has become very much pay-to-play. sadly it has gone from a true social media platform to a marketing network where fake forex traders and wannabe life coaches invade our news feeds on sponsored ads every day.,1
8,max,2019-10-31,15,awful when you need an issue fixed and…,Protect your privacy by deleting your facebook profile. The company sells your data and makes a fortune. End it!,2
9,Leon Eugene White,2019-10-31,18,Money hungry,"data selling scammers. Avoid this website, delete your facebook profile and stop being their product.",1
10,Wiktor Wilk,2019-10-31,9,Protect your privacy by deleting your…,very useful in terms of communication.. I can connect to my relatives easy,1
11,Carla Döring,2019-10-31,6,data selling scammers,"sells your data, businesses can advertise pure lies without getting punished. In facebook money = immunity.",1
12,Bryan Goldove,2019-10-31,3,very useful in terms of communication,"I've pretty much stopped using facebook now. I don't trust it after all the scandals and all the privacy issues. I used to think it was pretty good, but I didn't know what was going on behind the scenes.",5
13,Alexander Bischof,2019-10-30,9,sells your data,"I posted a screen shot providing proof that I was being sexually harassed, and I'M the one in Facebook jail. Why is it okay for people to expose themselves with unwanted photos, but it's NOT okay for victims of sexual harassment and assault to speak out about it with a COVERED photo in which you can't see anything?? This is why victims don't speak up or reach out. We are silenced and viewed as perpetrators while the disgusting harassers are seen as poor victims. It even states in the standards that posts can be made as protests or bringing awareness to a cause, so why is facebook violating its own standards?",1
14,Peter,2019-10-29,4,I've pretty much stopped using facebook…,Facebook is  getting more and more redundant with each passing day.It still rocks!!!,2
